序号,标准问题,真实评论短句,一级分类,二级主题,提问类型,来源批次,笔记标题,账号名称,笔记发布时间,搜索关键词,笔记链接,评论日期地区,建议回答证据,研究备注
62,图片看到你的a柱脱落了，是螺丝滑出来了吗？有没有做在承重墙上？我家里用了四年了，感觉东西比你放的还多,图片看到你的a柱脱落了，是螺丝滑出来了吗？有没有做在承重墙上？我家里用了四年了，感觉东西比你放的还多,承重问题,稳定性/荷载,直接提问,新增样本,宜家博阿克塞翻车，一觉醒来 它倒塌了…,红心奶油芭乐,2024-08-02,金属衣柜承重,https://www.xiaohongshu.com/explore/66ac2e400000000005033a25,2024-08-02广东,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
63,折叠门北京能做吗？,折叠门北京能做吗？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,千万别做折叠门衣柜，真的太好用了！,日标住建,编辑于 2025-05-09,衣柜环保,https://www.xiaohongshu.com/explore/6819cd3b000000000303e84a,07-01中国香港,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
64,这个折叠门是什么材质做的？多少一平,这个折叠门是什么材质做的？多少一平呢？,价格问题,总价/包含项/购买渠道,直接提问,新增样本,千万别做折叠门衣柜，真的太好用了！,日标住建,编辑于 2025-05-09,衣柜环保,https://www.xiaohongshu.com/explore/6819cd3b000000000303e84a,2025-05-28湖南,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
65,无地轨柜门如何做？,请问无地轨柜门如何做？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,千万别做折叠门衣柜，真的太好用了！,日标住建,编辑于 2025-05-09,衣柜环保,https://www.xiaohongshu.com/explore/6819cd3b000000000303e84a,2025-05-24北京,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
66,装柜门的时候连门框是一起装的吗？,装柜门的时候连门框是一起装的吗？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,用了半年金属衣柜，有些话不知当讲不当讲,十七の家装生活日记,编辑于 2025-11-02,金属衣柜贵吗,https://www.xiaohongshu.com/explore/690748bd00000000050023ed,6天前河南,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
67,这个架子一定要装在承重墙上吗？,这个架子一定要装在承重墙上吗,承重问题,稳定性/荷载,直接提问,新增样本,用了半年金属衣柜，有些话不知当讲不当讲,十七の家装生活日记,编辑于 2025-11-02,金属衣柜贵吗,https://www.xiaohongshu.com/explore/690748bd00000000050023ed,2025-11-15广东,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
68,多少钱,多少钱,价格问题,总价/包含项/购买渠道,直接提问,新增样本,超强承重立柱金属衣柜！每家都可以拥有,潼潼|金属衣柜|全国安装,03-29,金属衣柜承重,https://www.xiaohongshu.com/explore/69c7f569000000001b021d82,04-07江苏,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
69,松下折叠门多少钱？,松下折叠门多少钱？,价格问题,总价/包含项/购买渠道,直接提问,新增样本,在卫生间掏出一个折叠门衣柜（内含施工尺寸）,狗都不Tam女士,01-08,金属衣柜柜门,https://www.xiaohongshu.com/explore/695f494e000000001a02bdbe,01-09山东,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
70,姐妹请问下你的ishelf衣架做下来多少钱,姐妹请问下你的ishelf衣架做下来多少钱呀？,价格问题,总价/包含项/购买渠道,直接提问,新增样本,在卫生间掏出一个折叠门衣柜（内含施工尺寸）,狗都不Tam女士,01-08,金属衣柜柜门,https://www.xiaohongshu.com/explore/695f494e000000001a02bdbe,01-08湖北,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
71,灯带自己安装是不是要开好槽，要不要变压器啊？,灯带自己安装是不是要开好槽，要不要变压器啊？,安装问题,墙体/固定/尺寸/施工,质疑型,新增样本,全屋定制别只盯投影面积！隐藏增项太烧钱,王先生的家,5天前 辽宁,全屋定制避坑,https://www.xiaohongshu.com/explore/6a564d780000000006032247,1天前江苏,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
72,洗槽是原板开槽嘛这么贵？,洗槽是原板开槽嘛这么贵？,价格问题,总价/包含项/购买渠道,直接提问,新增样本,全屋定制别只盯投影面积！隐藏增项太烧钱,王先生的家,5天前 辽宁,全屋定制避坑,https://www.xiaohongshu.com/explore/6a564d780000000006032247,7小时前辽宁,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
73,那个灯带可以自己安装吗意思是？,那个灯带可以自己安装吗意思是？,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,全屋定制别只盯投影面积！隐藏增项太烧钱,王先生的家,5天前 辽宁,全屋定制避坑,https://www.xiaohongshu.com/explore/6a564d780000000006032247,3天前安徽,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
74,地板上上螺丝固定吗？,请问地板上上螺丝固定吗？,安装问题,墙体/固定/尺寸/施工,直接提问,新增样本,提供一个落地式金属衣柜安装思路（视频版）,盐烤柠檬秋刀鱼,2025-07-02,金属衣柜安装,https://www.xiaohongshu.com/explore/68650d700000000010025d68,2025-07-02安徽,尺寸图、墙体判断、固定节点、施工顺序及责任边界,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
75,我想问下算上柜门和安装下来一共多少？,我想问下算上柜门和安装下来一共多少？,柜门问题,门型/轨道/遮挡,直接提问,新增样本,小红书抄来的金属衣柜..2K价格太香了！！,茉莉装修日记,02-18,金属衣柜价格,https://www.xiaohongshu.com/explore/6995d341000000000c0373fd,02-18天津,门型、五金、开启空间、价格和内部件避让图,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
76,多少钱,多少钱,价格问题,总价/包含项/购买渠道,直接提问,新增样本,小红书抄来的金属衣柜..2K价格太香了！！,茉莉装修日记,02-18,金属衣柜价格,https://www.xiaohongshu.com/explore/6995d341000000000c0373fd,06-30四川,同尺寸报价单；逐项列明架体、门、侧板、功能件、运输、安装和售后,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
77,我用了5年了，牢固得很不过我没做门，纯金属架，加布帘。我就不信这样比全屋定制多甲醛？很好用，新房装修继续用。,我用了5年了，牢固得很不过我没做门，纯金属架，加布帘。我就不信这样比全屋定制多甲醛？很好用，新房装修继续用。,环保问题,甲醛/气味/检测边界,质疑型,新增样本,千万不要再装金属衣柜了,设计师尤米,2025-04-02,金属衣柜缺点,https://www.xiaohongshu.com/explore/67ecf678000000001e0016a3,03-31福建,检测报告编号、样品范围与适用标准；区分架体和整套,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码
78,背面固定吗？背面是轻体墙能不能承重啊,背面固定吗？背面是轻体墙能不能承重啊,承重问题,稳定性/荷载,直接提问,新增样本,不知不觉金属衣柜用了一年半啦,跳咪周周在家,06-24 云南,金属衣柜承重,https://www.xiaohongshu.com/explore/6a3b76e30000000011016ac0,4小时前北京,墙体、固定件、跨距、测试载荷、持续时间和安全系数,事实：公开可见评论的短句摘录；分类与标准化问题为研究编码

